participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Monday,SumTotalEventInteractions,TodayPageGoal-Monday,FZGoal,SumTotalFZNoteInteractions,TodayPageGoal-Thursday,SumTotalLTGNoteInteractions,TodayPageGoal-Tuesday,TodayPageUse-Friday,TodayPageGoal-Wednesday,TodayPageUse-Thursday,TodayPageGoal-Saturday,TodayPageUse-Sunday,TodayPageUse-Saturday,LTGGoal,LTGFolderUse,FZFolderUse,TodayPageUse-Tuesday,TodayPageUse-Wednesday,TodayPageGoal-Sunday,TodayPageGoal-Friday
29,0.7142857142857143,1.2857142857142858,1.25,23,9.857142857142858,9.333333333333334,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0
71,2.2857142857142856,3.4285714285714284,4.0,14,9.571428571428571,4.333333333333333,0,0.0,0.0,0.0,7.666666666666667,0,0.0,0,0.0,0,0,0,0.0,0.0,18,0,0.0,0.0
73,1.1428571428571428,2.0,2.0,0,0.7142857142857143,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,4,0,0,0.0,0.0,0,0,1.3333333333333333,0.0
83,1.1428571428571428,2.142857142857143,2.0,0,4.714285714285714,0.0,8,1.0,0.0,1.0,0.0,0,3.0,0,0.0,0,0,8,0.2857142857142857,0.2857142857142857,0,7,0.0,0.0
95,7.571428571428571,18.714285714285715,13.25,4,9.571428571428571,0.6666666666666666,0,0.0,1.0,0.0,5.666666666666667,13,3.3333333333333335,4,1.0,5,3,0,0.0,0.0,20,15,1.0,3.3333333333333335
97,5.571428571428571,13.142857142857142,9.75,4,10.571428571428571,2.0,0,0.0,0.0,0.0,10.333333333333334,0,0.3333333333333333,0,0.0,0,0,0,0.0,0.0,30,1,0.0,0.0
99,13.0,43.857142857142854,22.75,0,27.714285714285715,0.0,1,0.2857142857142857,3.3333333333333335,0.2857142857142857,7.0,0,1.3333333333333333,9,2.6666666666666665,0,7,1,0.14285714285714285,0.14285714285714285,24,4,0.0,0.0
100,8.714285714285714,19.857142857142858,15.25,7,22.0,2.0,13,0.42857142857142855,2.0,0.42857142857142855,14.0,0,5.0,5,0.0,9,0,13,0.5714285714285714,0.5714285714285714,37,10,2.6666666666666665,0.0
101,4.142857142857143,12.0,7.25,0,9.571428571428571,0.0,0,0.0,1.6666666666666667,0.0,3.6666666666666665,0,0.0,4,0.0,8,0,0,0.0,0.0,9,0,2.6666666666666665,0.0
103,10.857142857142858,26.0,19.0,0,25.428571428571427,0.0,0,0.0,0.0,0.0,0.0,3,13.666666666666666,0,0.0,6,0,0,0.0,0.0,0,30,2.3333333333333335,1.3333333333333333
105,8.571428571428571,68.0,15.0,0,18.0,0.0,0,0.0,5.0,0.0,0.0,0,10.0,12,0.0,0,0,0,0.0,0.0,0,25,0.0,0.0
106,5.571428571428571,12.714285714285714,9.75,7,11.714285714285714,1.6666666666666667,2,0.7142857142857143,2.0,0.7142857142857143,6.0,5,1.3333333333333333,7,3.3333333333333335,0,9,2,0.2857142857142857,0.2857142857142857,17,8,0.0,1.3333333333333333
